"children_youth_justice","adult_carers_isolated_18","adult_carers_isolated_all_ages","adult_carers_not_isolated","alcohol_rx_18","alcohol_rx_all_ages","alcohol_admissions_f","alchol_admissions_m","alcohol_admissions_p","children_leaving_care","depression","domestic_abuse","self_harm_female","self_harm_male","self_harm_persons","opiates","lt_health_problems","lt_unepmloyment","looked_after_children","marital_breakup","old_pople_alone","alone","self_reported_well_being","smi","social_care_mh","homeless","alcohol_rx","drug_rx_non_opiate","drug_rx_opiate","suicide_rate","unemployment"
29.2,35.3,49.4,1.73670750792015,7.72930264513913,867.19,1773.72,1296.51,4.64972969944819,34.3112026076514,8.14493651285228,14.8288708389827,404.699549968587,226.585081918542,313.526164915881,14.4658406416779,18.6096320800475,0.233643040163239,74.3409389832447,13.1590475699634,6.23206689814556,16.9645747970838,19.75,1.27195758822599,193.635569618167,1.89046878986802,28.96341463,30.76923077,9.987669544,11.956709518981,4.6
37.8,44.7,49,2.10638345047782,2.82698831511496,727.76,1513.59,1089.95,4.0510127531883,24.8597201505789,10.6128518321827,22.6886168163391,245.585730245927,145.76065742896,194.457603783532,4.7071328246593,12.275959542423,0.122024841688824,35.5138859293984,12.1602799104108,4.02490227305632,11.4982988272767,21.13,0.632895806141798,590.864019776966,2.87917737789203,40,43.22033898,10.71428571,7.91467618535944,3.1
41.6,47.5,50.3,3.30671517543319,8.535281905819,1134.66,2183.62,1617.29,3.86300826042478,24.6363461085285,8.87019456715857,22.665090957199,280.868170439559,168.534568830978,223.919764637738,14.2411561973583,17.3273334201037,0.724822282068079,60.6982440355049,11.8039293113833,4.40604290579548,11.4365000048514,23.09,0.951637244235426,616.867837655648,1.92589206250395,35.92870544,43.10118265,5.7178116,9.19286163401666,6.3
32.5,23.9,37.2,1.89263453105623,5.1469932643285,925.51,1931.06,1393.2,8.14189291443446,29.3278587996907,5.29967653960804,21.6449216405548,65.4577619759309,36.8910345281797,50.5511721773521,8.50562091032645,14.4215413781469,0.612301571042916,44.6583304449836,9.63784623558106,2.85145437770116,9.91145858625099,16.7,1.19946267280182,80.8788197401411,6.04747566935917,42.85714286,40.52953157,9.682080925,8.58261358089878,7.1
34.4,34.1,43,2.91146116241173,7.4828897338403,840.2,1582.42,1188.36,4.84154929577465,47.8058108450897,9.34144248059125,17.1376269004,418.219979805801,206.203173573836,311.497626509808,10.6038409025224,16.3036042857822,0.24811186867935,84.8797049698531,11.5821922593265,5.43789159547318,16.6481870562544,24.43,1.18892057341118,128.772508908955,3.19060280169848,46.65579119,40,10.77943615,14.3854798480029,5.6
29.1,46.2,48.8,2.04212597863754,9.56319609828444,1043.03,2113.08,1541.37,10.4088849046267,40.9774192852675,8.81963644552313,17.2552710308201,400.502270640979,180.565585359877,289.632401097635,15.4261435296353,16.7487868782021,0.333040562381436,72.7888368883042,10.6508452665929,4.84033485031541,14.7098712077438,21.16,0.948047328001865,171.324738253872,5.29883646821488,33.91521197,29.3078056,7.618343195,12.6511450257543,5
55,36,41.9,0.960749384519926,2.07762054402434,760.55,1479.65,1079.05,5.24793511643856,18.6978019695018,7.82550285479718,21.6449216405548,125.940539995718,77.0989099646445,101.470417015428,5.95574893176985,14.9722681905156,0.176925042756885,39.4731374911705,10.9756195590139,5.49014243232592,13.2937923217479,23,0.822062181626559,593.623236704662,4.43873379278122,40.09433962,36.95652174,8.724832215,7.54888668440925,4.1
30.8,39.5,45.1,0.985079885760509,2.25302905861597,662.37,1392.96,996.8,3.36128747496011,18.6500667257943,7.94260079585554,22.6886168163391,181.355159942324,73.0773574244884,126.300904320798,5.01084618497233,13.4435553937101,0.135404196914631,38.1290253060683,10.3825570264412,4.75609241120533,10.4695565444531,18.15,0.716708951459008,184.400079634725,1.93959545580493,46.42857143,45.85635359,11.37071651,7.19372826008122,3.1
26.2,46.5,45.7,2.38067307493255,4.76824665153157,947.82,1912.54,1391.59,9.69133000453926,24.617260216163,5.89659346360021,22.4798235258081,257.046359565751,124.522736024211,188.582848001047,9.81215766658826,18.8160596563277,0.365082637528777,71.5072796755211,12.3878730523541,5.27687474388745,13.2566589263762,23.92,1.0407099788364,792.901306059904,1.91792764182079,31.41025641,38.42105263,6.034482759,11.5531982109107,5.1
35.7,43.1,43.1,2.87601588302965,6.11694560928242,843.8,1724.56,1243.74,7.21826220337454,23.9923224568138,10.708294120054,22.665090957199,233.415865665425,118.915722707486,175.186437891543,11.6910731593698,17.9564923022578,0.409870603467429,65.4336067004013,13.514620061719,5.53919437087402,14.3411274064118,21.09,0.955153112828892,1064.42353691596,0.521773159119073,41.71597633,32.91925466,7.799442897,11.3025544697974,4.4
